rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,targetDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
2,2,0,OLD,20194456,양자물리학,2019-09-25,20191001,366909290,22.9,-32057920,-8,3951495290,46490,-3980,-7.9,484561,778,3027
3,3,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20191001,248069790,15.5,-51288240,-17.1,39076302404,31809,-6956,-17.9,4512803,871,3482
4,4,0,OLD,20199446,원스 어폰 어 타임... 인 할리우드,2019-09-25,20191001,118217240,7.4,-29849300,-20.2,1863142080,14889,-3922,-20.8,230702,630,1730
5,5,0,OLD,20192982,애드 아스트라,2019-09-19,20191001,52398910,3.3,-5331680,-9.2,4420124080,6688,-805,-10.7,501692,465,902
6,6,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20191001,40686110,2.5,-9451930,-18.9,19645357254,5197,-1125,-17.8,2224340,375,867
7,7,0,OLD,20184483,퍼펙트맨,2019-10-02,20191001,25417000,1.6,-7978000,-23.9,733855020,3631,-1655,-31.3,99004,25,25
8,8,2,OLD,20193807,예스터데이,2019-09-18,20191001,25236620,1.6,1197040,5,2524291600,3345,221,7.1,298715,308,464
9,9,-1,OLD,20195968,더 룸,2019-09-25,20191001,26836100,1.7,-6215000,-18.8,421361700,3342,-749,-18.3,52117,158,453
10,10,-1,OLD,20195203,레플리카,2019-09-25,20191001,25810470,1.6,-2631420,-9.3,300225960,3300,-362,-9.9,38168,320,612
1,1,0,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20190930,531321240,30.1,-1102867080,-67.5,6031193980,69777,-122130,-63.6,759487,991,4621
2,2,0,OLD,20194456,양자물리학,2019-09-25,20190930,398967210,22.6,-573889840,-59,3584586000,50470,-60379,-54.5,438071,747,2960
3,3,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190930,299358030,16.9,-480153810,-61.6,38828232614,38765,-51014,-56.8,4480994,872,3607
4,4,0,OLD,20199446,원스 어폰 어 타임... 인 할리우드,2019-09-25,20190930,148066540,8.4,-228681490,-60.7,1744924840,18811,-23781,-55.8,215813,631,1782
5,5,0,OLD,20192982,애드 아스트라,2019-09-19,20190930,57730590,3.3,-88819060,-60.6,4367725170,7493,-9429,-55.7,495004,475,925
6,6,1,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190930,50138040,2.8,-43914210,-46.7,19604671144,6322,-4088,-39.3,2219143,376,891
7,7,-1,OLD,20184483,퍼펙트맨,2019-10-02,20190930,33395000,1.9,-106574320,-76.1,708438020,5286,-10596,-66.7,95373,17,20
8,8,0,OLD,20195968,더 룸,2019-09-25,20190930,33051100,1.9,-40508100,-55.1,394525600,4091,-4136,-50.3,48775,146,466
9,9,2,OLD,20195203,레플리카,2019-09-25,20190930,28441890,1.6,-25711370,-47.5,274415490,3662,-2502,-40.6,34868,322,644
10,10,0,OLD,20193807,예스터데이,2019-09-18,20190930,24039580,1.4,-33670150,-58.3,2499054980,3124,-3579,-53.4,295370,301,466
1,1,0,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20190929,1634188320,34.7,-95750080,-5.5,5499872740,191907,-10029,-5,689710,1090,4793
2,2,0,OLD,20194456,양자물리학,2019-09-25,20190929,972857050,20.7,8894300,0.9,3185618790,110849,853,0.8,387601,799,2804
3,3,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190929,779511840,16.6,-177770900,-18.6,38528874584,89779,-20032,-18.2,4442229,985,3845
4,4,0,OLD,20199446,원스 어폰 어 타임... 인 할리우드,2019-09-25,20190929,376748030,8.0,-90523760,-19.4,1596858300,42592,-9788,-18.7,197002,661,1880
5,5,0,OLD,20192982,애드 아스트라,2019-09-19,20190929,146549650,3.1,-29831090,-16.9,4309994580,16922,-3034,-15.2,487511,484,899
6,6,0,OLD,20184483,퍼펙트맨,2019-10-02,20190929,139969320,3.0,-7438380,-5,675043020,15882,-1613,-9.2,90087,455,692
7,7,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190929,94052250,2.0,-13024610,-12.2,19554533104,10410,-1318,-11.2,2212821,397,866
8,8,0,OLD,20195968,더 룸,2019-09-25,20190929,73559200,1.6,-16184500,-18,361474500,8227,-1881,-18.6,44684,155,473
